iteration,accuracy,size_mb,inference_time_avg,inference_time_std,sparsity_pruned_parameters,sparsity_model
0,97.67976797679768,29.396738,0.0006004810333251953,0.0004902922255453466,0,0.0
1,97.61976197619762,19.705346,0.001386547088623047,0.00037176026099552045,32.99998093183403,32.953795850861695
2,97.56975697569757,13.212034,0.0009016990661621094,0.0004921298837788408,55.10999607740585,55.03286695310492
3,98.0998099809981,8.861442,0.0009171485900878907,0.0005995944170023383,69.92371371600419,69.82585207218897
4,98.27982798279828,5.946562,0.0009578227996826172,0.0005146710141513974,79.84889840481172,79.73714598149985
5,98.42984298429843,3.99373,0.0012244701385498047,0.00023326771432585005,86.49878508542538,86.37772582174183
6,98.37983798379838,2.685186,0.000500631332397461,0.0004472361530947687,90.9541982653417,90.82690343385875
7,98.3998399839984,1.808514,0.0008023262023925781,0.00040116934996453505,93.93931964783822,93.80784699355445
8,98.37983798379838,1.221122,0.0009022235870361328,0.0004911586703183538,95.93936595624129,95.80509413971278
9,98.30983098309831,0.827586,0.0008014202117919922,0.00040071281180367805,97.27938131973501,97.14323408642383
10,98.40984098409841,0.56397,0.0008010387420654297,0.0004005234123058796,98.17721953451883,98.03981573288613
